director,title
Lee Isaac Chung,Abigail Harm
Jill Culton,Abominable
Tracy Droz Tragos,Abortion: Stories Women Tell
Chris Weitz,About a Boy
Gerard Stembridge,About Adam
Jesse Zwick,About Alex
Stephen Elliott,About Cherry
Asghar Farhadi,About Elly (2009)
Roy Andersson,About Endlessness
Alexander Payne,About Schmidt
Richard Curtis,About Time
Phillip Noyce,Above Suspicion
Timur Bekmambetov,Abraham Lincoln: Vampire Hunter
Katharina Otto-Bernstein,Absolute Wilson
Terry Jones,Absolutely Anything
Mandie Fletcher,Absolutely Fabulous: The Movie
Catherine Breillat,Abuse of Weakness
Radu Ciorniciuc,"Acasă, My Home"
Matthew Ornstein,"Accidental Courtesy: Daryl Davis, Race & America"
David O. Russell,Accidental Love
Stu Zicherman,A.C.O.D.
Julie Taymor,Across the Universe
Mike McCoy,Act of Valor
Jack Bryan,Active Measures
Mike Ott,Actor Martinez
Robert Greene,Actress
Rosemary Rodriguez,Acts of Worship
James Gray,Ad Astra
Paul Schrader,Adam Resurrected
Craig Chester,Adam & Steve
Anders Thomas Jensen,Adam's Apples
Roger Gnoan M'Bala,Adanggaman
Spike Jonze,Adaptation.
Bille Woodruff,Addicted
Jamie Babbit,Addicted to Fresno
Charles Evans Jr.,Addiction Incorporated
Logan Marshall-Green,Adopt a Highway
Atom Egoyan,Adoration
Anne Fontaine,Adore
Marco Filiberti,Adored
Shinobu Yaguchi,Adorenarin doraibu
Baltasar Kormákur,Adrift
Ross Katz,Adult Beginners
Rachel Tunnard,Adult Life Skills
Scott Coffey,Adult World
Lina Plioplyte,Advanced Style
Jennifer Phang,Advantageous
Greg Mottola,Adventureland
Ari Gold,Adventures of Power
Ken Loach,Ae Fond Kiss...
Radu Jude,Aferim!
Kevin Asch,Affluenza
Havana Marking,Afghan Star
Alastair Fothergill,African Cats
Pieter Gaspersz,After
Jenny Gage,After
Jon Kean,After Auschwitz
M. Night Shyamalan,After Earth
Eric Schaeffer,"After Fall, Winter"
Jessica Sanders,After Innocence
Joachim Lafosse,After Love
Davide Ferrario,After Midnight
Emily Taguchi,After Parkland
Alexander H. Browne,After the Cup: Sons of Sakhnin United
John Huddles,After the Dark
Saar Klein,After The Fall
Lucas Belvaux,After the Life
Brett Ratner,After the Sunset
Bart Freundlich,After the Wedding
Lana Wilson,After Tiller
Juan Feldman,After Words
Andrzej Wajda,Afterimage
Agnieszka Wojtowicz-Vosloo,After.Life
Wladyslaw Pasikowski,Aftermath
Peter Engert,Aftermath
Elliott Lester,Aftermath
Nancy Buirski,Afternoon of a Faun: Tanaquil Le Clercq
Antonio Campos,Afterschool
Nicolás López,Aftershock
Charles S. Dutton,Against the Ropes
Arnaud des Palli,Age of Uprising: The Legend of Michael Kohlhaas
Harald Zwart,Agent Cody Banks
Kevin Allen,Agent Cody Banks 2: Destination London
Mickey Reece,Agnes
Oskar Roehler,Agnes and His Brothers
Alejandro Amenábar,Agora
Robert Richman,Ahead of Time
Steven Spielberg,A.I. Artificial Intelligence
Alison Klayman,Ai Weiwei: Never Sorry
Andreas Johnsen,Ai Weiwei: The Fake Case
Joan Churchill,Aileen: Life and Death of a Serial Killer
Jamila Wignot,Ailey
Jacob Hatley,Ain't in It for My Health: A Film About Levon Helm
David Lowery,Ain't Them Bodies Saints
Alexandra Lipsitz,Air Guitar Nation
Scandar Copti,Ajami
Duncan Roy,AKA
Doug Atchison,Akeelah and the Bee
Charles Officer,Akilla's Escape
Chris Hegedus,Al Franken: God Spoke
Guy Ritchie,Aladdin
Declan Lowney,Alan Partridge
Niall MacCormick,Albatross
Rodrigo García,Albert Nobbs
Rob Cohen,Alex Cross
Rob Reiner,Alex & Emma
Chris Messina,Alex of Venice
Geoffrey Sax,Alex Rider: Operation Stormbreaker
Craig Johnson,Alex Strangelove
Oliver Stone,Alexander
Miguel Arteta,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
Aleksandr Sokurov,Alexandra
Charles Shyer,Alfie
Michael Mann,Ali
Mark Mylod,Ali G Indahouse
Claude Miller,Alias Betty
Josephine Mackerras,Alice
André Téchiné,Alice et Martin
Tim Burton,Alice in Wonderland
Andrew Neel,Alice Neel
Chico Teixeira,Alice's House
Matty Beckerman,Alien Abduction
Ridley Scott,Alien: Covenant
Anton Bormatov,Alien Girl
Jabbar Raisani,Alien Outpost
R.W. Goodwin,Alien Trespass
John Schultz,Aliens in the Attic
James Cameron,Aliens of the Deep
Amos Gitai,Alila
Robert Rodriguez,Alita: Battle Angel
Michael Rossato-Bennett,Alive Inside
Elie Wajeman,Aliyah
Shunji Iwai,All About Lily Chou-Chou
Eva Vives,All About Nina
Phil Traill,All About Steve
Kevin Bray,All About the Benjamins
Martyn Atkins,All Access: Front Row. Backstage. Live!
Chris Sivertson,All Cheerleaders Die
Joe Robert Cole,All Day and a Night
Benny Boom,All Eyez on Me
Andrew Jarecki,All Good Things
Colleen Hennessy,All I Can Say
Marc Forster,All I See Is You
Susan Walter,All I Wish
Lisa Cortes,All In: The Fight for Democracy
Douglas Tirola,All In: The Poker Movie
Phil Morrison,All Is Bright
Mia Hansen-Løve,All Is Forgiven (2007)
J.C. Chandor,All Is Lost
Kenneth Branagh,All Is True
Eva Trobisch,All Is Well
Theo Anthony,"All Light, Everywhere"
Matej Minac,All My Loved Ones
Mike Leigh,All or Nothing
Julie Davis,All Over the Guy
J.C. Khoury,All Relative
Jonathan Levine,All the Boys Love Mandy Lane
Brett Haley,All the Bright Places
Steven Zaillian,All the King's Men
Joe Swanberg,All the Light in the Sky
Ridley Scott,All the Money in the World
Billy Bob Thornton,All the Pretty Horses
Stefan Ruzowitzky,All the Queen's Men
David Gordon Green,All the Real Girls
Michael Johnson,All the Wilderness
Michal Marczak,All These Sleepless Nights
Melissa B. Miller-Costanzo,All These Small Moments
Colin Hanks,All Things Must Pass
Jenny Gage,All This Panic
Stéphane Robelin,All Together
