director,title
Robert Machoian,The Killing of Two Lovers
Nadav Lapid,The Kindergarten Teacher
Sara Colangelo,The Kindergarten Teacher
Lone Scherfig,The Kindness of Strangers
James Marsh,The King
Eugene Jarecki,The King
David Michôd,The King
Kristian Levring,The King Is Alive
Seth Gordon,The King of Kong: A Fistful of Quarters
Judd Apatow,The King of Staten Island
Peter Berg,The Kingdom
Mami Sunada,The Kingdom of Dreams and Madness
Lauren Greenfield,The Kingmaker
Erik Poppe,The King's Choice
Matthew Vaughn,The King's Man
Jordan Vogt-Roberts,The Kings of Summer
Tom Hooper,The King's Speech
Vince Marcello,The Kissing Booth 2
Vince Marcello,The Kissing Booth 3
Andrea Berloff,The Kitchen
Marc Forster,The Kite Runner
Arnon Goldfinger,The Komediant
Reginald Hudlin,The Ladies Man
Luc Besson,The Lady
Eric Rohmer,The Lady and the Duke
Charles D. Ignacio,The Lady in Question Is Charles Busch
Nicholas Hytner,The Lady in the Van
Ethan Coen,The Ladykillers
Alejandro Agresti,The Lake House
Steven Caple Jr.,The Land
Nicole Holofcener,The Land of Steady Habits
M. Night Shyamalan,The Last Airbender
Joe Talbot,The Last Black Man in San Francisco
Rod Lurie,The Last Castle
Álex de la Iglesia,The Last Circus
Olivier Megaton,The Last Days of American Crime
Ruairi Robinson,The Last Days on Mars
Ridley Scott,The Last Duel
Daniel Stamm,The Last Exorcism
Ed Gass-Donnelly,The Last Exorcism Part II
Sean Penn,The Last Face
Jan P. Matuszynski,The Last Family
Richard LaGravenese,The Last Five Years
Dennis Iliadis,The Last House on the Left
Kevin Macdonald,The Last King of Scotland
Tony Goldwyn,The Last Kiss
Ferne Pearlstein,The Last Laugh
Doug Lefler,The Last Legion
Dereck Joubert,The Last Lions
Harry Ralston,The Last Man
Mark Craig,The Last Man on the Moon
David Charhon,The Last Mercenary
Robert Shaye,The Last Mimzy
Catherine Breillat,The Last Mistress
Barry Avrich,The Last Mogul
Bill Haney,The Last Mountain
Adam Rifkin,The Last Movie Star
Richard Glatzer,The Last of Robin Hood
Claude Lanzmann,The Last of the Unjust
Harry Thomason,The Last Ride
Joe Maggio,The Last Rites of Joe May
Jan Troell,The Last Sentence
Deborah Warner,The Last September
Raz Degan,The Last Shaman
Andrew Cohn,The Last Shift
Jeff Nathanson,The Last Shot
"Michael Landon, Jr.",The Last Sin Eater
Julie Anne Robinson,The Last Song
Michael Hoffman,The Last Station
Pablo Solarz,The Last Suit
Dee Rees,The Last Thing He Wanted
Michael Caleo,The Last Time
Shola Amoo,The Last Tree
Larry Fessenden,The Last Winter
Breck Eisner,The Last Witch Hunter
Mark Pellington,The Last Word
Kevin Pollak,The Late Bloomer
Steven Soderbergh,The Laundromat
Josh Howard,The Lavender Scare
Ra'anan Alexandrowicz,The Law in These Parts
William H. Macy,The Layover
David Gelb,The Lazarus Effect
Stephen Norrington,The League of Extraordinary Gentlemen
Matthew Chapman,The Ledge
Jody Hill,The Legacy of a Whitetail Deer Hunter
Robert Redford,The Legend of Bagger Vance
Chia-Liang Liu,The Legend of Drunken Master
Renny Harlin,The Legend of Hercules
Charles Atlas,The Legend of Leigh Bowery
Frederic Lilien,The Legend of Pale Male
David Yates,The Legend of Tarzan
Martin Campbell,The Legend of Zorro
Chris McKay,The LEGO Batman Movie
Christopher Miller,The LEGO Movie
Mike Mitchell,The LEGO Movie 2: The Second Part
Bob Logan,The LEGO Ninjago Movie
Paolo Virzì,The Leisure Seeker
Kristina Grozeva,The Lesson
Ziad H. Hamzeh,The Letter: An American Town and the 'Somali Invasion'
William Riead,The Letters
Hope Dickson Leach,The Levelling
Alberto Arvelo,The Liberator
Laurence Dunmore,The Libertine
Joshua Leonard,The Lie
Edoardo Ponti,The Life Ahead
Kirk Marcolina,The Life and Crimes of Doris Payne
Aviva Kempner,The Life and Times of Hank Greenberg
Wes Anderson,The Life Aquatic with Steve Zissou
Vadim Perelman,The Life Before Her Eyes
Alan Parker,The Life of David Gale
Barry Poltermann,The Life of Reilly
Liz W. Garcia,The Lifeguard
Derek Cianfrance,The Light Between Oceans
Jessica M. Thompson,The Light of the Moon
Juan Carlos Medina,The Limehouse Golem
Jim Jarmusch,The Limits of Control
Brad Furman,The Lincoln Lawyer
Jon Favreau,The Lion King
Josh Lawson,The Little Death
Jeff Baena,The Little Hours
Mark Osborne,The Little Prince
Lenny Abrahamson,The Little Stranger
John Lee Hancock,The Little Things
Lynn Roth,The Little Traitor
Uli Edel,The Little Vampire
Florian Henckel von Donnersmarck,The Lives of Others
Sol Tryon,The Living Wake
Ognjen Glavonic,The Load
Giorgos Lanthimos,The Lobster
Severin Fiala,The Lodge
David Ondaatje,The Lodger
Brian O'Malley,The Lodgers
Erik Van Looy,The Loft
Julia Loktev,The Loneliest Planet
Joshua Zeman,The Loneliest Whale: The Search for 52
Hannah Fidell,The Long Dumb Road
George Tillman Jr,The Longest Ride
Peter Segal,The Longest Yard
Angelina Maccarone,The Look
Michael Winterbottom,The Look of Love
Joshua Oppenheimer,The Look of Silence
Scott Frank,The Lookout
Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Rob Zombie,The Lords of Salem
Sylvain White,The Losers
Jodie Markell,The Loss of a Teardrop Diamond
Kurt Vincent,The Lost Arcade
Maggie Gyllenhaal,The Lost Daughter
Vicky Wight,The Lost Husband
Andreas Koefoed,The Lost Leonardo
Larry Blamire,The Lost Skeleton of Cadavra
Madeleine Sackler,The Lottery
Joel Hopkins,The Love Punch
Albert Maysles,The Love We Make
Michael Showalter,The Lovebirds
Peter Jackson,The Lovely Bones
Roland Joffé,The Lovers
Azazel Jacobs,The Lovers
Robert Cannan,The Lovers and the Despot
Jamie Thraves,The Low Down
Scott Hicks,The Lucky One
Neil Burger,The Lucky Ones
Agnieszka Smoczynska,The Lure
Marleen Gorris,The Luzhin Defence
Henry Jaglom,The M Word
Emma Dante,The Macaluso Sisters
Caradog W. James,The Machine
Tinatin Gurchiani,The Machine Which Makes Everything Disappear
Brad Anderson,The Machinist
Mélanie Laurent,The Mad Women's Ball
Pif,The Mafia Only Kills in Summer
Peter Mullan,The Magdalene Sisters
Rob Reiner,The Magic of Belle Isle
Antoine Fuqua,The Magnificent Seven
Sebastián Silva,The Maid
Michael Walker,The Maid's Room
Jay Karas,The Main Event
Frank Darabont,The Majestic
Les Mayfield,The Man
George Hickenlooper,The Man from Elysian Fields
Guy Ritchie,The Man from U.N.C.L.E.
Carl Colby,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby"
Joseph Bullman,The Man Who Bought Mustique
Jorge Furtado,The Man Who Copied
Sally Potter,The Man Who Cried
Bharat Nalluri,The Man Who Invented Christmas
Terry Gilliam,The Man Who Killed Don Quixote
Robert D. Krzykowski,The Man Who Killed Hitler and Then The Bigfoot
Matt Brown,The Man Who Knew Infinity
Kaouther Ben Hania,The Man Who Sold His Skin
Ethan Coen,The Man Who Wasn't There
The RZA,The Man with the Iron Fists
Aki Kaurismäki,The Man Without a Past
Jonathan Demme,The Manchurian Candidate
Jim Van Bebber,The Manson Family
Alan Taylor,The Many Saints of Newark
Ian Samuels,The Map of Tiny Perfect Things
Todd Louiso,The Marc Pease Experience
John Bonito,The Marine
Robert Lorenz,The Marksman
Ridley Scott,The Martian
Paul Thomas Anderson,The Master
Perry Andelin Blake,The Master of Disguise
Richard Shepard,The Matador
Avi Nesher,The Matchmaker
Lana Wachowski,The Matrix Reloaded
Lana Wachowski,The Matrix Resurrections
Kevin Macdonald,The Mauritanian
Wes Ball,The Maze Runner
Michael Tucker,The Meaning of Hitler
Simon West,The Mechanic
Gordon Chan,The Medallion
Lorene Scafaria,The Meddler
Jon Turteltaub,The Meg
Erik Van Looy,The Memory of a Killer
Grant Heslov,The Men Who Stare at Goats
John Magary,The Mend
Michael Radford,The Merchant of Venice
James Marsh,The Mercy
Stephen Chow,The Mermaid
Oren Moverman,The Messenger
Danny Pang,The Messengers
Gore Verbinski,The Mexican
Noah Baumbach,The Meyerowitz Stories (New and Selected)
Vicente Amorim,The Middle of the World
George Clooney,The Midnight Sky
Martin Provost,The Midwife
Tim Chambers,The Mighty Macs
Lech Majewski,The Mill and the Cross
Wim Wenders,The Million Dollar Hotel
Joe Begos,The Mind's Eye
Sean McNamara,The Miracle Season
Bruce La Bruce,The Misandrists
Desiree Akhavan,The Miseducation of Cameron Post
Renny Harlin,The Misfits
Felix Van Groeningen,The Misfortunates
Ron Howard,The Missing
Noah Buschel,The Missing Person
Rithy Panh,The Missing Picture
Maite Alberdi,The Mole Agent
Jane Weinstock,The Moment
Pernille Rose Grønkjær,The Monastery: Mr. Vig and the Nun
Dominik Moll,The Monk
Samantha Lang,The Monkey's Mask
George Clooney,The Monuments Men
Harald Zwart,The Mortal Instruments: City of Bones
Ryan Spindell,The Mortuary Collection
Kristian Petri,The Most Beautiful Boy in the World
Judith Ehrlich,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers
Tommy O'Haver,The Most Hated Woman in America
George Bamber,The Mostly Unfabulous Social Life of Ethan Green
Michael Kang,The Motel
Alan Polsky,The Motel Life
Mary Harron,The Moth Diaries
Mark Pellington,The Mothman Prophecies
Walter Salles,The Motorcycle Diaries
Rick Alverson,The Mountain
Hany Abu-Assad,The Mountain Between Us
Michael Burke,The Mudge Boy
Clint Eastwood,The Mule
Alex Kurtzman,The Mummy
Stephen Sommers,The Mummy Returns
Rob Cohen,The Mummy: Tomb of the Dragon Emperor
James Bobin,The Muppets
Jim Kohlberg,The Music Never Stopped
Morgan Neville,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble
Peter Hyams,The Musketeer
Dean Obeidallah,The Muslims Are Coming!
Laure de Clermont-Tonnerre,The Mustang
Rawson Marshall Thurber,The Mysteries of Pittsburgh
Ismail Merchant,The Mystic Masseur
David Robert Mitchell,The Myth of the American Sleepover
Michel Leclerc,The Names of Love
Mira Nair,The Namesake
Robert Pulcini,The Nanny Diaries
Catherine Hardwicke,The Nativity Story
Liz Garbus,The Nazi Officer's Wife
Nicolas Winding Refn,The Neon Demon
T. Sean Durkin,The Nest
Yoruba Richen,The New Black
François Ozon,The New Girlfriend
Ed Decter,The New Guy
Josh Boone,The New Mutants
Adam Bhala Lough,The New Radical
Oeke Hoogendijk,The New Rijksmuseum
Carly Stone,The New Romantic
Terrence Malick,The New World
John Schlesinger,The Next Best Thing
P.J. Posner,The Next Big Thing
Paul Haggis,The Next Three Days
Shane Black,The Nice Guys
Jonathan Levine,The Night Before
Michael Cristofer,The Night Clerk
Dominique Rocher,The Night Eats the World
David Bruckner,The Night House
Masaaki Yuasa,"The Night Is Short, Walk On Girl"
Jennifer Kent,The Nightingale
Rodney Ascher,The Nightmare
Tarik Saleh,The Nile Hilton Incident
John August,The Nines
Volker Schlöndorff,The Ninth Day
Roman Polanski,The Ninth Gate
Andrew Horn,The Nomi Song
Nick Cassavetes,The Notebook
János Szász,The Notebook
Mary Harron,The Notorious Bettie Page
Roger Donaldson,The November Man
Lauren Hadaway,The Novice
Kasper Barfoed,The Numbers Station
Corin Hardy,The Nun
Peter Lepeniotis,The Nut Job
Callan Brunker,The Nut Job 2: Nutty by Nature
Andrei Konchalovsky,The Nutcracker
Joe Johnston,The Nutcracker and the Four Realms
Cody Calahan,The Oak Room
Laura Poitras,The Oath
Ike Barinholtz,The Oath
Peter Hedges,The Odd Life of Timothy Green
Billy Kent,The Oh in Ohio
Gina Prince-Bythewood,The Old Guard
David Lowery,The Old Man & the Gun
John Moore,The Omen
James Wong,The One
Andre Gaines,The One and Only Dick Gregory
Thea Sharrock,The One and Only Ivan
Charlie McDowell,The One I Love
David Farr,The Ones Below
Marc Webb,The Only Living Boy in New York
Matthew Diamond,The Oogieloves in the Big Balloon Adventure
Yuval Adler,The Operative
Jon Dichter,The Operator
Myles Connell,The Opportunists
Julian Farino,The Oranges
Fabrice Du Welz,The Ordeal
Brian Helgeland,The Order
Margaret Brown,The Order of Myths
Spike Lee,The Original Kings of Comedy
João Pedro Rodrigues,The Ornithologist
Juan Antonio Bayona,The Orphanage
Justin Chadwick,The Other Boleyn Girl
Marius A. Markevicius,The Other Dream Team
James Dodson,The Other End of the Line
Andrea Blaugrund,The Other F Word
Adam McKay,The Other Guys
Joey Klein,The Other Half
Malgorzata Szumowska,The Other Lamb
Roberto Minervini,The Other Side
Mitch Davis,The Other Side of Heaven
Aki Kaurismäki,The Other Side of Hope
Johannes Roberts,The Other Side of the Door
Marcos Bernstein,The Other Side of the Street
Orson Welles,The Other Side of the Wind
Lorraine Levy,The Other Son
Avi Nesher,The Other Story
Don Roos,The Other Woman
Nick Cassavetes,The Other Woman
Alejandro Amenábar,The Others
Joseph Ruben,The Ottoman Lieutenant
Rod Lurie,The Outpost
William Gazecki,The Outrageous Sophie Tucker
Casimir Nozkowski,The Outside Story
Nicholas Jarecki,The Outsider
Brian A. Miller,The Outsider
Martin Zandvliet,The Outsider
Patrick Brice,The Overnight
Jesse Moss,The Overnighters
Adam Shankman,The Pacifier
Nicholas McCarthy,The Pact
Dallas Richard Hallam,The Pact 2
Denis Dercourt,The Page Turner
Václav Marhoul,The Painted Bird
John Curran,The Painted Veil
Benjamin Ree,The Painter and the Thief
Jean-François Laguionie,The Painting (Le Tableau)
Lee Daniels,The Paperboy
Sally Potter,The Party
Karen Gillan,The Party's Just Beginning
Mel Gibson,The Passion of the Christ
Asghar Farhadi,The Past
Roland Emmerich,The Patriot
Mike Schwartz,The Peanut Butter Falcon
Patricio Guzmán,The Pearl Button
Anthony Geffen,Adventures of the Penguin King
Quentin Lee,The People I've Slept With
Alexandre O. Philippe,The People vs. George Lucas
Scott D. Rosenbaum,The Perfect Age of Rock 'n' Roll
Anne Renton,The Perfect Family
William Dear,The Perfect Game
David M. Rosenthal,The Perfect Guy
Lance Rivera,The Perfect Holiday
Nick Tomnay,The Perfect Host
Mark Rosman,The Perfect Man
Brian Robbins,The Perfect Score
Wolfgang Petersen,The Perfect Storm
Richard Shepard,The Perfection
Stephen Chbosky,The Perks of Being a Wallflower
Armando Iannucci,The Personal History of David Copperfield
Sophie Fiennes,The Pervert's Guide to Ideology
Joel Schumacher,The Phantom of the Opera
Noah Buschel,The Phenom
Stella Meghie,The Photograph
Roman Polanski,The Pianist
Michael Haneke,The Piano Teacher
Stephen Quay,The PianoTuner of EarthQuakes
Shawn Levy,The Pink Panther
Harald Zwart,The Pink Panther 2
Patricio Guzmán,The Pinochet Case
Bryan Buckley,The Pirates of Somalia
Mike Nawrocki,The Pirates Who Don't Do Anything: A VeggieTales Movie
Moussa Touré,The Pirogue
Derek Cianfrance,The Place Beyond the Pines
Peter Parlow,The Plagiarists
Galder Gaztelu-Urrutia,The Platform
Alexandre Courtès,The Players
Julia Dyer,The Playroom
David L. Lewis,The Pleasures of Being Out of Step
Sean Penn,The Pledge
Robert Zemeckis,The Polar Express
Maya Forbes,The Polka King
Chris Smith,The Pool
Ole Bornedal,The Possession
Diederik Van Rooijen,The Possession of Hannah Grace
David Jung,The Possession of Michael King
Corinna Faith,The Power
Jane Campion,The Power of the Dog
Craig McCracken,The Powerpuff Girls
Shane Black,The Predator
Mohsen Makhmalbaf,The President
Sang-soo Im,The President's Last Bang
Christopher Nolan,The Prestige
Jenée LaMarque,The Pretty One
Eric Valette,The Prey
Nathaniel Kahn,The Price of Everything
Harry Sinclair,The Price of Milk
Richard Trank,The Prime Ministers: The Pioneers
Brian A Miller,The Prince
Martha Coolidge,The Prince and Me
John Musker,The Princess and the Frog
Garry Marshall,The Princess Diaries
Garry Marshall,The Princess Diaries 2: Royal Engagement
Bertrand Tavernier,The Princess of Montpensier
Michael Tucker,The Prisoner or: How I Planned to Kill Tony Blair
Rebecca Miller,The Private Lives of Pippa Lee
Jane Anderson,"The Prize Winner of Defiance, Ohio"
Nicholas McCarthy,The Prodigy
Susan Stroman,The Producers
Wayne Roberts,The Professor
Stephen Frears,The Program
Ryan Murphy,The Prom
Terry George,The Promise
Steve Conrad,The Promotion
Anne Fletcher,The Proposal
Jill Magid,The Proposal
John Hillcoat,The Proposition
Prachya Pinkaew,The Protector
Prachya Pinkaew,The Protector 2
Martin Campbell,The Protégé
Rollin Binzer,The Providence Effect
Chad Freidrichs,The Pruitt-Igoe Myth
Emilio Estevez,The Public
Tabbert Fiiller,The Public Image Is Rotten
Jay Duplass,The Puffy Chair
Jonathan Hensleigh,The Punisher
Sini Anderson,The Punk Singer
James DeMonaco,The Purge
James DeMonaco,The Purge: Anarchy
Gabriele Muccino,The Pursuit of Happyness
Grégory Levasseur,The Pyramid
John Andreas Andersen,The Quake
Scott Teems,The Quarry
Stephen Frears,The Queen
Fernando Trueba,The Queen of Spain
Lauren Greenfield,The Queen of Versailles
Gilles de Maistre,The Quest of Alain Ducasse
Jamie Babbit,The Quiet
Phillip Noyce,The Quiet American
Oliver Murray,The Quiet One
John Pogue,The Quiet Ones
Antoine Delesvaux,The Rabbi's Cat
Laura Brownson,The Rachel Divide
Marcus Lindeen,The Raft
Gareth Evans,The Raid 2
Gareth Evans,The Raid: Redemption
Jonathan Teplitzky,The Railway Man
Bonni Cohen,The Rape of Europa
Nancy Buirski,The Rape of Recy Taylor
James McTeigue,The Raven
Stephen Daldry,The Reader
Pacho Velez,The Reagan Show
Rick de Oliveira,The Real Cancun
James Spinney,The Real Charlie Chaplin
Taggart Siegel,The Real Dirt on Farmer John
Stephen Hopkins,The Reaping
Jerry Rothwell,The Reason I Jump
John G. Young,The Reception
Neil Marshall,The Reckoning
Roger Donaldson,The Recruit
Gideon Raff,The Red Sea Diving Resort
Michael Dudok de Wit,The Red Turtle
Alison Maclean,The Rehearsal
Mira Nair,The Reluctant Fundamentalist
Dave Franco,The Rental
Howard Deutch,The Replacements
Scott Z. Burns,The Report
Muayad Alayan,The Reports on Sarah and Saleem
Elizabeth Chai Vasarhelyi,The Rescue
Chris Eska,The Retrieval
Andrei Zvyagintsev,The Return
Manuel Carballo,The Returned
Donnacha O'Briain,The Revolution Will Not Be Televised
Reed Morano,The Rhythm Section
Chloé Zhao,The Rider
Karen Shakhnazarov,The Rider Named Death
Frank Coraci,The Ridiculous 6
Gore Verbinski,The Ring
Hideo Nakata,The Ring Two
Lone Scherfig,The Riot Club
Tom Rice,The Rising Place
Christian Bauer,The Ritchie Boys
Mikael Håfström,The Rite
David Bruckner,The Ritual
John Hillcoat,The Road
Yam Laranas,The Road
Yimou Zhang,The Road Home
Dmitrii Kalashnikov,The Road Movie
Bibo Bergeron,The Road to El Dorado
Mat Whitecross,The Road to Guantanamo
Midi Z,The Road to Mandalay
Benjamin Heisenberg,The Robber
Peter Cattaneo,The Rocker
Kim Mordaunt,The Rocket
Galt Niederhoffer,The Romantics
John Lee Hancock,The Rookie
Ti West,The Roost
David Michôd,The Rover
Wes Anderson,The Royal Tenenbaums
Carter Smith,The Ruins
Roger Avary,The Rules of Attraction
Bruce Robinson,The Rum Diary
Floria Sigismondi,The Runaways
Peter Berg,The Rundown
Chad Gracia,The Russian Woodpecker
Ti West,The Sacrament
Guy Maddin,The Saddest Music in the World
Rose Troche,The Safety of Objects
Asghar Farhadi,The Salesman
Mark Brown,The Salon
Gianni Di Gregorio,The Salt of Life
Philippe Garrel,The Salt of Tears
Juliano Ribeiro Salgado,The Salt of the Earth
D.J. Caruso,The Salton Sea
Kristian Levring,The Salvation
David Weaver,The Samaritan
Robb Moss,The Same River Twice
Michael Lembeck,The Santa Clause 3: The Escape Clause
Wayne Blair,The Sapphires
Tamara Jenkins,The Savages
Je-yong Lee,The Scandal
Dasha Nekrasova,The Scary of Sixty-First
Michel Gondry,The Science of Sleep
Chuck Russell,The Scorpion King
John Suits,The Scribbler
Ian Merrick,The Sculptress
Baltasar Kormákur,The Sea
Stephen Brown,The Sea
Alejandro Amenábar,The Sea Inside
Kei Kumai,The Sea Is Watching
Gus Van Sant,The Sea of Trees
Ágúst Guðmundsson,The Seagull's Laughter
Ian Cheney,The Search for General Tso
Bartek Dziadosz,The Seasons in Quincy: Four Portraits of John Berger
Anna Muylaert,The Second Mother
Andy Tennant,The Secret: Dare to Dream
Jamie Kastner,The Secret Disco Revolution
Marc Munden,The Secret Garden
Juan José Campanella,The Secret in Their Eyes
Gina Prince-Bythewood,The Secret Life of Bees
Chris Renaud,The Secret Life of Pets
Chris Renaud,The Secret Life of Pets 2
Ben Stiller,The Secret Life of Walter Mitty
Isabel Coixet,The Secret Life of Words
Alan Rudolph,The Secret Lives of Dentists
Salomé Breziner,The Secret Lives of Dorks
Nora Twomey,The Secret of Kells
Abdel Kechiche,The Secret of the Grain
Jim Sheridan,The Secret Scripture
Hiromasa Yonebayashi,The Secret World of Arrietty
Yuval Adler,The Secrets We Keep
David L. Cunningham,The Seeker: The Dark Is Rising
Clio Barnard,The Selfish Giant
Ritesh Batra,The Sense of an Ending
Rudy Valdez,The Sentence
Clark Johnson,The Sentinel
R.J. Cutler,The September Issue
Ben Lewin,The Sessions
Shimon Dotan,The Settlers
Tiller Russell,The Seven Five
Jack Pettibone Riccobono,The Seventh Fire
Stuart Hazeldine,The Shack
Brian Robbins,The Shaggy Dog
Jaume Collet-Serra,The Shallows
Neil LaBute,The Shape of Things
Lasse Hallstrom,The Shipping News
Josh Greenbaum,The Short Game
Ani Simon-Kennedy,The Short History of the Long Road
Marco Amenta,The Sicilian Girl
Dan Bush,The Signal
William Eubank,The Signal
Baran bo Odar,The Silence
Linda Yellen,The Simian Line
David Silverman,The Simpsons Movie
Keith Gordon,The Singing Detective
Caryn Waechter,The Sisterhood of Night
Ken Kwapis,The Sisterhood of the Traveling Pants
Sanaa Hamri,The Sisterhood of the Traveling Pants 2
Arthur Allan Seidelman,The Sisters
Jacques Audiard,The Sisters Brothers
David Gordon Green,The Sitter
Philip Haas,The Situation
Iain Softley,The Skeleton Key
Craig Johnson,The Skeleton Twins
Pedro Almodóvar,The Skin I Live In
Jamie Kastner,The Skyjacker's Tale
Kevin Heffernan,The Slammin' Salmon
Alex Smith,The Slaughter Rule
Catherine Breillat,The Sleeping Beauty
Trish Sie,The Sleepover
Mona Fastvold,The Sleepwalker
Christopher Munch,The Sleepy Time Gal
Raja Gosnell,The Smurfs
Raja Gosnell,The Smurfs 2
Justin Kurzel,The Snowtown Murders
Jeff Orlowski,The Social Dilemma
David Fincher,The Social Network
Joe Wright,The Soloist
Jean-Pierre Dardenne,The Son
Eugène Green,The Son of Joseph
Dito Montiel,The Son of No One
Andrew Desmond,The Sonata
Majid Majidi,The Song of Sparrows
Ari Gold,The Song of Sway Lake
Tim Wolff,The Sons of Tennessee Williams
Nanni Moretti,The Son's Room
Siu-Tung Ching,The Sorcerer and the White Snake
Jon Turteltaub,The Sorcerer's Apprentice
Michael Tyburski,The Sound of Silence
Jodi Wille,The Source Family
Joanna Hogg,The Souvenir
Joanna Hogg,The Souvenir: Part II
Peter Chelsom,The Space Between Us
Edgar Wright,The Sparks Brothers
Eyal Sivan,The Specialist
Craig Mazin,The Specials
James Ponsoldt,The Spectacular Now
Mark Waters,The Spiderwick Chronicles
Frank Miller,The Spirit
Mike Mitchell,The SpongeBob Movie: Sponge Out of Water
Stephen Hillenburg,The SpongeBob SquarePants Movie
Aviva Kempner,The Spy Behind Home Plate
Susanna Fogel,The Spy Who Dumped Me
Nash Edgerton,The Square
Jehane Noujaim,The Square
Ruben Östlund,The Square
Terry Jastrow,The Squeeze
Noah Baumbach,The Squid and the Whale
Jamie Babbit,The Stand In
Henry Dunham,The Standoff at Sparrow Creek
Kyle Patrick Alvarez,The Stanford Prison Experiment
Timothy Reckart,The Star
Thomas McCarthy,The Station Agent
Nelson McCormick,The Stepfather
Frank Oz,The Stepford Wives
Shane Meadows,The Stone Roses: Made of Stone
Cyrus Nowrasteh,The Stoning of Soraya M.
Byambasuren Davaa,The Story of the Weeping Camel
Manoel de Oliveira,The Strange Case of Angelica
Bruno Forzani,The Strange Color of Your Body's Tears
Ramon Zürcher,The Strange Little Cat
Christopher Radcliff,The Strange Ones
Johannes Roberts,The Strangers: Prey at Night
Jameel Khan,The Strip
Kirill Serebrennikov,The Student
James Gunn,The Suicide Squad
Alanté Kavaïté,The Summer of Sangaile
Patrick Imbert,The Summit of the Gods
Aleksandr Sokurov,The Sun
Ritu Sarin,The Sun Behind the Clouds: Tibet's Struggle for Freedom
Ry Russo-Young,The Sun Is Also a Star
David Wnendt,The Sunlit Night
Jeremy Hersh,The Surrogate
Stephen Fingleton,The Survivalist
Ása Helga Hjörleifsdóttir,The Swan
Nick Love,The Sweeney
Roger Kumble,The Sweetest Thing
Carlo Mirabella-Davis,The Swell Season
Jeppe Rønde,The Swenkas
Josh Gordon,The Switch
Eran Riklis,The Syrian Bride
John Boorman,The Tailor of Panama
Brad Furman,The Take
Avi Lewis,The Take
James Watkins,The Take
Tony Scott,The Taking of Pelham 1 2 3
Hark Tsui,The Taking of Tiger Mountain
Jennifer Fox,The Tale
Robert Stevenhagen,The Tale of Despereaux
Isao Takahata,The Tale of The Princess Kaguya
Andrew Wagner,The Talent Given Us
Pascal Laugier,The Tall Man
Eyad Zahra,The Taqwacores
Sang-soo Im,The Taste of Money
Agnès Jaoui,The Taste of Others
Walter Foote,The Tavern
David Ayer,The Tax Collector
Jan Hrebejk,The Teacher
Julie Taymor,The Tempest
David Wain,The Ten
Danny Green,The Tenants
Burak Bayirli,The Tender Bar
Daniel Burman,The Tenth Man
Steven Spielberg,The Terminal
Marcus Nispel,The Texas Chainsaw Massacre
Jonathan Liebesman,The Texas Chainsaw Massacre: The Beginning
James Marsh,The Theory of Everything
Matthijs van Heijningen Jr.,The Thing
Raymond De Felitta,The Thing About My Folks
Hirokazu Koreeda,The Third Murder
Ash Mayfair,The Third Wife
Michel Gondry,The Thorn in the Heart
Tommy Lee Jones,The Three Burials of Melquiades Estrada
Aluisio Abranches,The Three Marias
Paul W.S. Anderson,The Three Musketeers
Bobby Farrelly,The Three Stooges
Gary Winick,The Tic Code
Ido Fluk,The Ticket
Roberto Benigni,The Tiger and the Snow
Lena Khan,The Tiger Hunter
Jun Falkenstein,The Tigger Movie
Amir Bar-Lev,The Tillman Story
Nenad Cicin-Sain,The Time Being
Simon Wells,The Time Machine
Elia Suleiman,The Time That Remains
Robert Schwentke,The Time Traveler's Wife
Mark Bozek,The Times of Bill Cunningham
Maggie Carey,The To Do List
Nikolaus Leytner,The Tobacconist
Debra Kirschner,The Tollbooth
Noble Jones,The Tomorrow Man
Chris McKay,The Tomorrow War
Leanne Pooley,The Topp Twins: Untouchable Girls
Robert Lieberman,The Tortured
Florian Henckel von Donnersmarck,The Tourist
Ben Affleck,The Town
Robert Guédiguian,The Town Is Quiet
Bruce McDonald,The Tracey Fragments
Rolf de Heer,The Tracker
Marco Bellocchio,The Traitor
Corey Yuen,The Transporter
Camille Delamarre,The Transporter Refueled
Oren Rudavsky,The Treatment
Julie Bertucelli,The Tree
William Boyd,The Trench
Aaron Sorkin,The Trial of the Chicago 7
Eugene Jarecki,The Trials of Henry Kissinger
Bill Siegel,The Trials of Muhammad Ali
Miroslav Slaboshpitsky,The Tribe
Brendan Malloy,The Tribes of Palos Verdes
Miles Swain,The Trip
Michael Winterbottom,The Trip
Michael Winterbottom,The Trip to Greece
Michael Winterbottom,The Trip to Italy
Michael Winterbottom,The Trip to Spain
Sylvain Chomet,The Triplets of Belleville
Clare Peploe,The Triumph of Love
Michael Knowles,The Trouble with Bliss
Martin Krejcí,The True Adventures of Wolfboy
Gregory Kershaw,The Truffle Hunters
Richard Rich,The Trumpet of the Swan
Alex Brewer,The Trust
Hirokazu Koreeda,The Truth
Jonathan Demme,The Truth About Charlie
Francesca Gregorini,The Truth About Emanuel
Roland Suso Richter,The Tunnel
Allan Miller,The Turandot Project
Ágnes Hranitzky,The Turin Horse
