salesdid;fName
1367;Contemporary_Fiction
1368;Factual
1369;Contemporary_Fiction
1370;Contemporary_Fiction
1371;Kids_Fiction
1372;
1373;Contemporary_Fiction
1374;Science_Fiction
1375;Factual
1376;Factual
1377;Contemporary_Fiction
1378;Contemporary_Fiction
1379;Contemporary_Fiction
1380;Science_Fiction
1381;Historical_Fiction
1382;Contemporary_Fiction
1383;Contemporary_Fiction
1384;Contemporary_Fiction
1385;Contemporary_Fiction
1386;
1387;Contemporary_Fiction
1388;Contemporary_Fiction
1389;Contemporary_Fiction
1390;
1391;Dramatization
1392;Factual
1393;Contemporary_Fiction
1394;Contemporary_Fiction
1395;Contemporary_Fiction
1396;Contemporary_Fiction
1397;Contemporary_Fiction
1398;Contemporary_Fiction
1399;
1400;Factual
1401;
1402;Contemporary_Fiction
1403;Contemporary_Fiction
1404;Contemporary_Fiction
1405;Contemporary_Fiction
1406;Factual
1407;Contemporary_Fiction
1408;Contemporary_Fiction
